page_url,제품명,제품 소개,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/드라이-핏-스위프트-엘리먼트-uv-여성-쿼터집-러닝-탑-WmDCyMZr/FB4317-518,여성 쿼터집 러닝 탑,나이키 드라이 핏 스위프트 엘리먼트 UV,탑 & 티셔츠,긴팔,"85,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/프로-샤인-여성-드라이-핏-에이시메트리컬-크롭-탑-pDh0m53R/FV8101-010,여성 드라이 핏 에이시메트리컬 크롭 탑,나이키 프로 샤인,탑 & 티셔츠,긴팔,"69,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/acg-델타-리버-여성-드라이-핏-adv-긴팔-탑-Gxsco92B/FV7334-010,여성 드라이 핏 ADV 긴팔 탑,나이키 ACG '델타 리버',탑 & 티셔츠,긴팔,"99,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/에어-조던-남성-가디건-SCFFMli4/FV7426-070,남성 가디건,에어 조던,탑 & 티셔츠,긴팔,"179,000 원",W,0,0,1,1,1
https://www.nike.com/kr/t/드라이-핏-uv-어드밴티지-여성-하프집-골프-탑-Clpg5TGt/DX1492-010,여성 하프집 골프 탑,나이키 드라이 핏 UV 어드밴티지,탑 & 티셔츠,긴팔,"119,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/드라이-핏-스위프트-엘리먼트-uv-여성-크루넥-러닝-탑-on7Yk2hS/FB4298-338,여성 크루넥 러닝 탑,나이키 드라이 핏 스위프트 엘리먼트 UV,탑 & 티셔츠,긴팔,"75,000 원",W,0,0,0,1,0
https://www.nike.com/kr/t/투어-여성-드라이-핏-adv-쿼터집-골프-탑-SB20nwe2/FD5628-010,여성 드라이 핏 ADV 쿼터집 골프 탑,나이키 투어,탑 & 티셔츠,긴팔,"139,000 원",W,0,1,1,0,0
https://www.nike.com/kr/t/여성-아티스트-컬렉션-드라이-핏-긴팔-시어-프린트-탑-q5HPmhah/HF6737-629,드라이 핏 긴팔 시어 프린트 탑,나이키 여성 아티스트 컬렉션,탑 & 티셔츠,긴팔,"85,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/젠비-여성-드라이-핏-반팔-탑-aLTqMmji/FV8127-104,여성 드라이 핏 반팔 탑,나이키 젠비,탑 & 티셔츠,반팔,"85,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/원-피티드-여성-드라이-핏-반팔-크롭-탑-J9Jj1LOc/FV8089-478,여성 드라이 핏 반팔 크롭 탑,나이키 원 피티드,탑 & 티셔츠,반팔,"65,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/acg-여성-드라이-핏-루즈-반팔-티셔츠-RPqNRlLJ/HF3281-010,여성 드라이 핏 루즈 반팔 티셔츠,나이키 ACG,탑 & 티셔츠,반팔,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/조던-헤리티지-여성-그래픽-티셔츠-T2igfb7X/HQ2673-133,여성 그래픽 티셔츠,조던 헤리티지,탑 & 티셔츠,반팔,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/원-클래식-여성-드라이-핏-반팔-탑-yKGrhtZk/FN2799-010,여성 드라이 핏 반팔 탑,나이키 원 클래식,탑 & 티셔츠,반팔,"49,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-프리미엄-에센셜-남성-티셔츠-kxhNK9v6/DO7393-010,남성 티셔츠,나이키 스포츠웨어 프리미엄 에센셜,탑 & 티셔츠,반팔,"59,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/스포츠웨어-여성-루즈-반팔-크롭-티셔츠-59IH6h08/FZ2856-478,여성 루즈 반팔 크롭 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,반팔,"49,000 원",W,1,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-크롭-티셔츠-g0lffSCz/HF8820-010,여성 슬림 크롭 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,반팔,"59,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-여성-링거-티셔츠-aduBozVZ/HJ6872-010,여성 링거 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,반팔,"49,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/조던-여성-오버사이즈-그래픽-티셔츠-dC5GHsth/FV7120-100,여성 오버사이즈 그래픽 티셔츠,조던,탑 & 티셔츠,반팔,"69,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-슬림-핏-크롭-티셔츠-g2AAm0KW/FB2874-474,여성 슬림 핏 크롭 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"49,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/jacquemus-반팔-티셔츠-8mjTYE8I/HF7112-100,반팔 티셔츠,나이키 x Jacquemus,탑 & 티셔츠,반팔,"79,000 원",W,0,1,1,1,1
