page_url,제품 소개,제품명,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/드라이-핏-레전드-남성-긴팔-피트니스-탑-Fwg2Kc7T/DX0994-010,남성 긴팔 피트니스 탑,나이키 드라이 핏 레전드,탑 & 티셔츠,긴팔,"45,000 원",M,0,0,1,0,0
https://www.nike.com/kr/t/마일러-남성-드라이-핏-uv-긴팔-러닝-탑-Y0izKA49/FB7071-010,남성 드라이 핏 UV 긴팔 러닝 탑,나이키 마일러,탑 & 티셔츠,긴팔,"55,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/프로-남성-드라이-핏-타이트-긴팔-피트니스-탑-sypQi4Yu/FB7920-010,남성 드라이 핏 타이트 긴팔 피트니스 탑,나이키 프로,탑 & 티셔츠,긴팔,"45,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/투어-남성-하프집-골프-탑-Gk0IBcWT/FQ0473-010,남성 하프집 골프 탑,나이키 투어,탑 & 티셔츠,긴팔,"135,000 원",M,0,0,1,1,0
https://www.nike.com/kr/t/스트라이크-남성-써마-핏-축구-드릴-탑-GzH8DVMA/FZ0567-702,남성 써마 핏 축구 드릴 탑,나이키 스트라이크,탑 & 티셔츠,긴팔,"119,000 원",M,1,1,1,1,1
https://www.nike.com/kr/t/드라이-핏-빅토리-남성-긴팔-골프-폴로-tMyEEBlA/DN2345-010,남성 긴팔 골프 폴로,나이키 드라이 핏 빅토리,탑 & 티셔츠,긴팔,"99,000 원",M,0,0,1,0,1
https://www.nike.com/kr/t/빅토리-남성-드라이-핏-하프집-골프-탑-m6neUG4Q/FD5838-010,남성 드라이 핏 하프집 골프 탑,나이키 빅토리,탑 & 티셔츠,긴팔,"109,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/드라이-핏-아카데미-남성-축구-드릴-탑-tXXKpSSW/DX4301-010,남성 축구 드릴 탑,나이키 드라이 핏 아카데미,탑 & 티셔츠,긴팔,"65,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/sb-긴팔-플란넬-스케이트보딩-버튼-업-셔츠-xywKQjc6/FN2568-113,긴팔 플란넬 스케이트보딩 버튼 업 셔츠,나이키 SB,탑 & 티셔츠,긴팔,"119,000 원",M,0,1,0,0,0
https://www.nike.com/kr/t/투어-남성-골프-스웨터-dc7IGXdD/FQ8833-072,남성 골프 스웨터,나이키 투어,탑 & 티셔츠,긴팔,"159,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/프로-남성-드라이-핏-피트니스-모크넥-긴팔-탑-DlPokO1x/FB7909-010,남성 드라이 핏 피트니스 모크넥 긴팔 탑,나이키 프로,탑 & 티셔츠,긴팔,"45,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/드라이-핏-엘리먼트-남성-쿼터집-러닝-탑-FhMazl3c/DD4757-010,남성 쿼터집 러닝 탑,나이키 드라이 핏 엘리먼트,탑 & 티셔츠,긴팔,"85,000 원",M,0,0,1,0,1
https://www.nike.com/kr/t/드라이-핏-uv-하이버스-남성-긴팔-피트니스-탑-5bg0Uku2/FB8584-010,남성 긴팔 피트니스 탑,나이키 드라이 핏 UV 하이버스,탑 & 티셔츠,긴팔,"55,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/에센셜-남성-긴팔-하이드로가드-수영-셔츠-ewW4hn0J/DM3768-010,남성 긴팔 하이드로가드 수영 셔츠,나이키 에센셜,탑 & 티셔츠,긴팔,"89,000 원",M,1,1,1,1,1
https://www.nike.com/kr/t/파리-생제르맹-스트라이크-남성-드라이-핏-축구-드릴-탑-GH0yFLl8/FN9841-613,남성 나이키 드라이 핏 축구 드릴 탑,파리 생제르맹 스트라이크,탑 & 티셔츠,긴팔,"95,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/조던-에센셜-남성-플래드-플란넬-탑-HG0pNgDm/FZ8759-100,남성 플래드 플란넬 탑,조던 에센셜,탑 & 티셔츠,긴팔,"129,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/엘리먼트-남성-써마-핏-발수-하프집-러닝-탑-USdqs3q3/FZ1150-010,남성 써마 핏 발수 하프집 러닝 탑,나이키 엘리먼트,탑 & 티셔츠,긴팔,"109,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/테크-플리스-리이매진드-남성-폴로-b4UwNIwT/FZ7571-060,남성 폴로,나이키 테크 플리스 리이매진드,탑 & 티셔츠,긴팔,"149,000 원",M,0,0,0,1,1
